Категория;Подкатегория;Группа;Подгруппа;Товар;Бренд;Максимальная продажная цена;Средняя цена продажи (руб)
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;Сыр Castelli Verona 30% 180г Россия;Castelli; 329 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.18. Сыры сычужные полутвердые нарезка шт;БЗМЖ Сыр Золото Европы Маасдам 45% 150г Россия;Золото Европы; 329 ; 163 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.18. Сыры сычужные полутвердые нарезка шт;Сыр Anchor Гауда 45% 400г нарезка Чили;Anchor; 329 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.23. Промо, in-out;БЗМЖ Сыр с белой плесенью 'Бри сливочный' 60%, ТМ Champignon 60%, 125гр, Россия;Champignon 1908; 329 ; 195 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.23. Промо, in-out;БЗМЖ Сыр с белой плесенью 'Камамбер 50%, ТМ Champignon 50%, 125гр, Россия;Champignon 1908; 329 ; 195 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.13. Сулугуни, чечил, адыгейский;135.13.13.15. Сулугуни, чечил, адыгейский шт;БЗМЖ Сыр President Чечил белый косичка 35% 180г Россия;President; 329 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.13. Сулугуни, чечил, адыгейский;135.13.13.15. Сулугуни, чечил, адыгейский шт;БЗМЖ Сыр мягкий El'Nuar домашний для жарки 45% 300г Россия;el'Nuar; 329 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.13. Сулугуни, чечил, адыгейский;135.13.13.15. Сулугуни, чечил, адыгейский шт;БЗМЖ Сыр Сулугуни 40% 300г ТМ Molodo balance;Молодо; 329 ; 259 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.13. Сулугуни, чечил, адыгейский;135.13.13.15. Сулугуни, чечил, адыгейский шт;БЗМЖ Сыр Финский Сыроварни ЙОНАСА 45% 180г;Сыроварни Йонаса; 329 ; 259 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.13. Сулугуни, чечил, адыгейский;135.13.13.15. Сулугуни, чечил, адыгейский шт;Сыр Домашний Итальянский Fiordilatte 45% 400г Россия;Fiordilatte; 329 ;
